#;Locus tag;Length;Product;Completeness;Gene onthology;SEED;Protein databases;Genome annotation databases;Family and domain databases;Crossreferences;
108;U00096.2:2574119-2576399(-);2277;NADP-dependent malic enzyme;99.87% [2277/2280];GO:0004471 - malate dehydrogenase (decarboxylating) (NAD+) activity|GO:0004473 - malate dehydrogenase (decarboxylating) (NADP+) activity|GO:0005829 - cytosol|GO:0006108 - malate metabolic process|GO:0008948 - oxaloacetate decarboxylase activity|GO:0016746 - transferase activity transferring acyl groups|GO:0030145 - manganese ion binding|GO:0051287 - NAD binding;Pyruvate metabolism I: anaplerotic reactions, PEP;Uniprot (P76558)|Interpro (P76558);KEGG (eco:b2463)|KEGG GM (eco:b2463)|KEGG EC (1.1.1.40);Interpro (IPR015884)|Interpro (IPR012301)|Interpro (IPR037062)|Interpro (IPR012302)|Interpro (IPR012188)|Interpro (IPR036291)|Interpro (IPR042113)|Interpro (IPR042112)|Interpro (IPR002505)|Pfam (PF00390)|Pfam (PF03949)|Pfam (PF01515);NCBI (991977852)|EMBL (AP009048);
109;U00096.2:2614115-2615579(+);1461;Beta-barrel assembly-enhancing protease;99.80% [1461/1464];GO:0003756 - protein disulfide isomerase activity|GO:0004222 - metalloendopeptidase activity|GO:0008237 - metallopeptidase activity|GO:0008270 - zinc ion binding|GO:0016020 - membrane|GO:0030288 - outer membrane-bounded periplasmic space|GO:0043165 - Gram-negative-bacterium-type cell outer membrane assembly|GO:0046872 - metal ion binding|GO:0051603 - proteolysis involved in cellular protein catabolic process|GO:0061077 - chaperone-mediated protein folding;;Uniprot (P66948)|Interpro (P66948);KEGG (eco:b2494)|KEGG GM (eco:b2494);Interpro (IPR001915)|Interpro (IPR030873)|Interpro (IPR011990)|Pfam (PF01435);NCBI (991977885)|EMBL (AP009048);
110;U00096.2:2618267-2618894(-);624;Uracil phosphoribosyltransferase;99.52% [624/627];GO:0000287 - magnesium ion binding|GO:0004845 - uracil phosphoribosyltransferase activity|GO:0005525 - GTP binding|GO:0006223 - uracil salvage|GO:0009116 - nucleoside metabolic process|GO:0044206 - UMP salvage;COG0523|De Novo Pyrimidine Synthesis|pyrimidine conversions;Uniprot (A7ZPU1)|Interpro (A7ZPU1);KEGG (ecw:EcE24377A_2781)|KEGG GM (ecw:EcE24377A_2781)|KEGG EC (2.4.2.9);Interpro (IPR000836)|Interpro (IPR029057)|Interpro (IPR034332)|Interpro (IPR005765);NCBI (752463159)|EMBL (CP000800);
111;U00096.2:2693822-2695379(+);1551;Membrane-bound lytic murein transglycosylase F;99.61% [1551/1557];GO:0000270 - peptidoglycan metabolic process|GO:0008933 - lytic transglycosylase activity|GO:0009279 - cell outer membrane|GO:0016837 - carbon-oxygen lyase activity acting on polysaccharides|GO:0016998 - cell wall macromolecule catabolic process|GO:0071555 - cell wall organization;;Uniprot (B3Y154)|Interpro (B3Y154);;Interpro (IPR023346)|Interpro (IPR023703)|Interpro (IPR001638)|Interpro (IPR000189)|Interpro (IPR008258)|Pfam (PF00497)|Pfam (PF01464);NCBI (215275592)|EMBL (AB426059);
112;U00096.2:2695375-2695879(-);501;tRNA-specific adenosine deaminase;99.40% [501/504];GO:0002100 - tRNA wobble adenosine to inosine editing|GO:0008270 - zinc ion binding|GO:0052717 - tRNA-specific adenosine-34 deaminase activity;;Uniprot (A0A387CR55)|Interpro (A0A387CR55);;Interpro (IPR016192)|Interpro (IPR002125)|Interpro (IPR016193)|Interpro (IPR028883)|Pfam (PF14437);EMBL (CP032667);
113;U00096.2:2710917-2712252(+);1332;ATP-dependent RNA helicase SrmB;99.78% [1332/1335];GO:0000027 - ribosomal large subunit assembly|GO:0004004 - RNA helicase activity|GO:0005524 - ATP binding|GO:0005829 - cytosol|GO:0008143 - poly(A) binding|GO:0008186 - RNA-dependent ATPase activity|GO:0016887 - ATPase activity|GO:0033592 - RNA strand annealing activity;ATP-dependent RNA helicases, bacterial;Uniprot (P21507)|Interpro (P21507);KEGG (eco:b2576)|KEGG GM (eco:b2576)|KEGG EC (3.6.4.13);Interpro (IPR011545)|Interpro (IPR028621)|Interpro (IPR014001)|Interpro (IPR001650)|Interpro (IPR027417)|Interpro (IPR000629)|Interpro (IPR014014)|Pfam (PF00270)|Pfam (PF00271);NCBI (991977965)|EMBL (AP009048);
114;U00096.2:2714087-2714471(-);381;Autonomous glycyl radical cofactor;99.22% [381/384];GO:0003824 - catalytic activity;;Uniprot (A7ZQ24)|Interpro (A7ZQ24);KEGG (ecw:EcE24377A_2866)|KEGG GM (ecw:EcE24377A_2866);Interpro (IPR019777)|Interpro (IPR001150)|Interpro (IPR011140)|Pfam (PF01228);NCBI (752460833)|EMBL (CP000800);
115;U00096.2:2716756-2717176(+);417;Thioredoxin 2;99.29% [417/420];GO:0005737 - cytoplasm|GO:0006662 - glycerol ether metabolic process|GO:0015035 - protein disulfide oxidoreductase activity|GO:0045454 - cell redox homeostasis|GO:0046872 - metal ion binding|GO:0047134 - protein-disulfide reductase activity;;Uniprot (P0AGG6)|Interpro (P0AGG6);KEGG (ecs:ECs3448)|KEGG GM (ecs:ECs3448)|KEGG EC (1.8.1.8);Interpro (IPR005746)|Interpro (IPR036249)|Interpro (IPR017937)|Interpro (IPR013766)|Pfam (PF00085);NCBI (1233690026)|EMBL (BA000007);
116;U00096.2:2717974-2720635(+);2658;Peptidyl-lysine N-acetyltransferase PatZ;99.89% [2658/2661];GO:0005524 - ATP binding|GO:0006979 - response to oxidative stress|GO:0009408 - response to heat|GO:0018393 - internal peptidyl-lysine acetylation|GO:0032462 - regulation of protein homooligomerization|GO:0046872 - metal ion binding|GO:0048037 - cofactor binding|GO:0051289 - protein homotetramerization|GO:0052858 - peptidyl-lysine acetyltransferase activity|GO:0061733 - peptide-lysine-N-acetyltransferase activity;Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate|Protein Acetylation and Deacetylation in Bacteria;Uniprot (P76594)|Interpro (P76594);KEGG (eco:b2584)|KEGG GM (eco:b2584);Interpro (IPR016181)|Interpro (IPR011761)|Interpro (IPR013815)|Interpro (IPR003781)|Interpro (IPR000182)|Interpro (IPR036291)|Interpro (IPR032875)|Interpro (IPR016102)|Pfam (PF00583)|Pfam (PF13380)|Pfam (PF13607);NCBI (991977975)|EMBL (D64044);
117;U00096.2:2773566-2773838(+);174;Putative UPF0401 protein YpjI;63.97% [174/272];;;Uniprot (P58095)|Interpro (P58095);;Interpro (IPR009253)|Interpro (IPR038612)|Pfam (PF06006);NCBI (14195539)|EMBL (AP009048);
118;U00096.2:2814958-2815525(-);564;Fructose-1-phosphate phosphatase YqaB;99.47% [564/567];GO:0000287 - magnesium ion binding|GO:0008801 - beta-phosphoglucomutase activity|GO:0016791 - phosphatase activity|GO:0050308 - sugar-phosphatase activity;2-phosphoglycolate salvage;Uniprot (P77475)|Interpro (P77475);KEGG (eco:b2690)|KEGG GM (eco:b2690);Interpro (IPR010976)|Interpro (IPR036412)|Interpro (IPR006439)|Interpro (IPR041492)|Interpro (IPR023214)|Interpro (IPR023198)|Pfam (PF13419);NCBI (991978060)|EMBL (AP009048);
119;U00096.2:2816219-2816296(-);75;Uncharacterized protein;97.40% [75/77];GO:0016021 - integral component of membrane;;Uniprot (A0A077NZ99)|Interpro (A0A077NZ99);;;EMBL (CBSV010000224);
120;U00096.2:2852359-2854438(+);2076;Formate hydrogenlyase transcriptional activator FhlA;99.86% [2076/2079];GO:0000160 - phosphorelay signal transduction system|GO:0001150 - bacterial-type RNA polymerase enhancer sequence-specific DNA binding|GO:0005524 - ATP binding|GO:0005829 - cytosol|GO:0006351 - transcription DNA-templated|GO:0008134 - transcription factor binding|GO:0042802 - identical protein binding|GO:0051289 - protein homotetramerization|GO:2000144 - positive regulation of DNA-templated transcription initiation;Formate hydrogenase;Uniprot (P19323)|Interpro (P19323);KEGG (eco:b2731)|KEGG GM (eco:b2731);Interpro (IPR003593)|Interpro (IPR003018)|Interpro (IPR029016)|Interpro (IPR009057)|Interpro (IPR002197)|Interpro (IPR027417)|Interpro (IPR002078)|Interpro (IPR025662)|Interpro (IPR025944)|Pfam (PF01590)|Pfam (PF02954)|Pfam (PF00158);NCBI (991978093)|EMBL (AP009048);
121;U00096.2:2859451-2860360(+);906;L-threonate dehydrogenase;99.67% [906/909];GO:0005975 - carbohydrate metabolic process|GO:0016491 - oxidoreductase activity|GO:0050661 - NADP binding|GO:0051287 - NAD binding;Polyhydroxybutyrate metabolism;Uniprot (Q46888)|Interpro (Q46888);KEGG (eco:b2736)|KEGG GM (eco:b2736)|KEGG EC (1.1.1.411);Interpro (IPR002204)|Interpro (IPR008927)|Interpro (IPR013328)|Interpro (IPR006115)|Interpro (IPR015815)|Interpro (IPR036291)|Interpro (IPR029154)|Pfam (PF14833)|Pfam (PF03446);NCBI (991978098)|EMBL (AP009048);
122;U00096.2:2890235-2890601(+);363;6-carboxy-5678-tetrahydropterin synthase;99.18% [363/366];GO:0008616 - queuosine biosynthetic process|GO:0046872 - metal ion binding|GO:0070497 - 6-carboxy-5678-tetrahydropterin synthase activity;Experimental-PTPS|COG1565|COG3146 experimental|Queuosine-Archaeosine Biosynthesis|tRNA modification Bacteria;Uniprot (P65871)|Interpro (P65871);KEGG (ecs:ECs3620)|KEGG GM (ecs:ECs3620)|KEGG EC (4.2.3.12);Interpro (IPR007115)|Interpro (IPR038418)|Pfam (PF01242);NCBI (1233690192)|EMBL (BA000007);
123;U00096.2:2929076-2929832(+);753;Flap endonuclease Xni OS=Escherichia coli O157:H7 OX=83334 GN=ygdG PE=3 SV=1;99.60% [753/756];;;Uniprot (A0A2Z5XQ18)|Interpro (A0A2Z5XQ18);;;;
124;U00096.2:2937389-2938121(+);729;L-fucose operon activator;99.59% [729/732];GO:0003677 - DNA binding|GO:0006004 - fucose metabolic process|GO:0043468 - regulation of fucose catabolic process|GO:0098531 - ligand-activated transcription factor activity;L-fucose utilization;Uniprot (P0ACK8)|Interpro (P0ACK8);KEGG (eco:b2805)|KEGG GM (eco:b2805);Interpro (IPR014036)|Interpro (IPR001034)|Interpro (IPR037171)|Interpro (IPR018356)|Interpro (IPR036388)|Interpro (IPR036390)|Pfam (PF00455)|Pfam (PF08220);NCBI (991978168)|EMBL (AP009048);
125;U00096.2:2940717-2940923(+);114;Uncharacterized protein;55.34% [114/206];;;Uniprot (A0A2A5PQ57)|Interpro (A0A2A5PQ57);;;;
126;U00096.2:2954017-2956906(-);2886;Protease 3;99.90% [2886/2889];GO:0004222 - metalloendopeptidase activity|GO:0005737 - cytoplasm|GO:0006508 - proteolysis|GO:0008270 - zinc ion binding|GO:0030288 - outer membrane-bounded periplasmic space;DNA repair, bacterial RecBCD pathway;Uniprot (P05458)|Interpro (P05458);KEGG (eco:b2821)|KEGG GM (eco:b2821)|KEGG EC (3.4.24.55);Interpro (IPR011249)|Interpro (IPR011765)|Interpro (IPR001431)|Interpro (IPR007863)|Interpro (IPR032632)|Pfam (PF00675)|Pfam (PF05193)|Pfam (PF16187);NCBI (991978181)|EMBL (M17095);
127;U00096.2:2969292-2969511(+);219;Uncharacterized protein;100.00% [219/219];;;Uniprot (Q1R7H9)|Interpro (Q1R7H9);KEGG (eci:UTI89_C3236)|KEGG GM (eci:UTI89_C3236);;NCBI (91073804)|EMBL (CP000243);
128;U00096.2:2969618-2970659(+);1038;Protein tas;99.71% [1038/1041];GO:0004033 - aldo-keto reductase (NADP) activity|GO:0005829 - cytosol|GO:0034198 - cellular response to amino acid starvation;CBSS-364106.7.peg.3211;Uniprot (P0A9T4)|Interpro (P0A9T4);KEGG (eco:b2834)|KEGG GM (eco:b2834);Interpro (IPR020471)|Interpro (IPR023210)|Interpro (IPR036812)|Pfam (PF00248);NCBI (991978196)|EMBL (AP009048);
129;U00096.2:2982432-2983614(-);1179;Probable acetyl-CoA acetyltransferase;99.75% [1179/1182];GO:0003985 - acetyl-CoA C-acetyltransferase activity|GO:0003988 - acetyl-CoA C-acyltransferase activity|GO:0005737 - cytoplasm|GO:0006635 - fatty acid beta-oxidation|GO:0071271 - 1-butanol biosynthetic process;Lysine fermentation|Butanol Biosynthesis|Acetyl-CoA fermentation to Butyrate|Acetone Butanol Ethanol Synthesis|Butyrate metabolism cluster|Archaeal lipids|Ethylmalonyl-CoA pathway of C2 assimilation|Serine-glyoxylate cycle|Polyhydroxybutyrate metabolism|Anaerobic benzoate metabolism|Isoprenoid Biosynthesis|Ethylmalonyl-CoA pathway of C2 assimilation, GJO;Uniprot (Q46939)|Interpro (Q46939);KEGG (eco:b2844)|KEGG GM (eco:b2844)|KEGG EC (2.3.1.9);Interpro (IPR002155)|Interpro (IPR016039)|Interpro (IPR020615)|Interpro (IPR020610)|Interpro (IPR020617)|Interpro (IPR020613)|Interpro (IPR020616)|Pfam (PF02803)|Pfam (PF00108);NCBI (991978206)|EMBL (AP009048);
130;U00096.2:2991960-2992463(+);474;Putative peptidoglycan-binding-like protein;94.23% [474/503];GO:0042597 - periplasmic space;Type 4 conjugative transfer system, IncI1 type;Uniprot (Q46790)|Interpro (Q46790);;Interpro (IPR023346)|Interpro (IPR008258)|Pfam (PF01464);NCBI (49036095)|EMBL (U00096);
131;U00096.2:3002029-3003808(-);1776;Uncharacterized sigma-54-dependent transcriptional regulator YgeV;99.83% [1776/1779];GO:0000160 - phosphorelay signal transduction system|GO:0005524 - ATP binding|GO:0006351 - transcription DNA-templated|GO:0006355 - regulation of transcription DNA-templated|GO:0008134 - transcription factor binding|GO:0043565 - sequence-specific DNA binding;Putative diaminopropionate ammonia-lyase cluster;Uniprot (Q46802)|Interpro (Q46802);KEGG (eco:b2869)|KEGG GM (eco:b2869);Interpro (IPR003593)|Interpro (IPR009057)|Interpro (IPR002197)|Interpro (IPR027417)|Interpro (IPR000014)|Interpro (IPR035965)|Interpro (IPR002078)|Interpro (IPR025662)|Interpro (IPR025943)|Interpro (IPR025944)|Pfam (PF02954)|Pfam (PF13188)|Pfam (PF00158);NCBI (991978227)|EMBL (AP009048);
132;U00096.2:3004283-3005474(+);1188;Putative carbamoyltransferase YgeW;99.75% [1188/1191];GO:0004070 - aspartate carbamoyltransferase activity|GO:0006207 - 'de novo' pyrimidine nucleobase biosynthetic process|GO:0006520 - cellular amino acid metabolic process|GO:0016597 - amino acid binding;Putative diaminopropionate ammonia-lyase cluster;Uniprot (Q8FE91)|Interpro (Q8FE91);KEGG (ecc:c3448)|KEGG GM (ecc:c3448);Interpro (IPR006132)|Interpro (IPR006130)|Interpro (IPR036901)|Interpro (IPR006131)|Interpro (IPR017702)|Pfam (PF00185)|Pfam (PF02729);NCBI (446901288)|EMBL (AE014075);
133;U00096.2:3044189-3047063(-);2871;Glycine dehydrogenase (decarboxylating);99.90% [2871/2874];GO:0004375 - glycine dehydrogenase (decarboxylating) activity|GO:0019464 - glycine decarboxylation via glycine cleavage system;;Uniprot (C5A0H5)|Interpro (C5A0H5);KEGG (ebw:BWG_2628)|KEGG GM (ebw:BWG_2628)|KEGG EC (1.4.4.2);Interpro (IPR003437)|Interpro (IPR020581)|Interpro (IPR015424)|Interpro (IPR015422)|Interpro (IPR015421)|Pfam (PF02347);NCBI (446117207)|EMBL (CP001396);
134;U00096.2:3054870-3055010(+);Blast running;
135;U00096.2:3100154-3100874(-);717;tRNA (guanine-N(7)-)-methyltransferase;99.58% [717/720];GO:0008176 - tRNA (guanine-N7-)-methyltransferase activity;RNA methylation|YggW|tRNA modification Bacteria|CBSS-83333.1.peg.2911;Uniprot (A7ZR85)|Interpro (A7ZR85);KEGG (ecw:EcE24377A_3305)|KEGG GM (ecw:EcE24377A_3305)|KEGG EC (2.1.1.33);Interpro (IPR029063)|Interpro (IPR003358)|Pfam (PF02390);NCBI (752462361)|EMBL (CP000800);
136;U00096.2:3103735-3104992(+);1254;Nucleoside permease NupG;99.76% [1254/1257];GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane|GO:0015212 - cytidine transmembrane transporter activity|GO:0015213 - uridine transmembrane transporter activity|GO:0015214 - pyrimidine nucleoside transmembrane transporter activity|GO:0015506 - nucleoside:proton symporter activity|GO:0015860 - purine nucleoside transmembrane transport|GO:0015862 - uridine transport|GO:0015864 - pyrimidine nucleoside transport|GO:0032238 - adenosine transport;;Uniprot (P0AFF4)|Interpro (P0AFF4);KEGG (eco:b2964)|KEGG GM (eco:b2964);Interpro (IPR020846)|Interpro (IPR036259)|Interpro (IPR004740)|Interpro (IPR033667)|Pfam (PF03825);NCBI (991978317)|EMBL (AP009048);
137;U00096.2:3151584-3152244(+);657;Inner membrane protein YghB;99.55% [657/660];GO:0005886 - plasma membrane|GO:0016021 - integral component of membrane;DedA family of inner membrane proteins;Uniprot (P0AA62)|Interpro (P0AA62);KEGG (ecs:ECs3893)|KEGG GM (ecs:ECs3893);Interpro (IPR032818)|Interpro (IPR032816)|Pfam (PF09335);NCBI (1233690453)|EMBL (BA000007);
138;U00096.2:3152283-3153240(-);954;Uncharacterized HTH-type transcriptional regulator YqhC;99.69% [954/957];GO:0000986 - bacterial-type proximal promoter sequence-specific DNA binding|GO:0001216 - DNA-binding transcription activator activity|GO:0006351 - transcription DNA-templated|GO:0045893 - positive regulation of transcription DNA-templated;D-gluconate and ketogluconates metabolism;Uniprot (Q46855)|Interpro (Q46855);KEGG (eco:b3010)|KEGG GM (eco:b3010);Interpro (IPR009057)|Interpro (IPR018060)|Interpro (IPR009594)|Pfam (PF06719)|Pfam (PF12833);NCBI (827623073)|EMBL (AP009048);
139;U00096.2:3192744-3192887(-);123;Uncharacterized protein;86.01% [123/143];;;Uniprot (A0A161RR92)|Interpro (A0A161RR92);;;NCBI (1071258793)|EMBL (MIWY01000005);
140;U00096.2:3229686-3231705(+);2016;24-dienoyl-CoA reductase;99.85% [2016/2019];GO:0008670 - 24-dienoyl-CoA reductase (NADPH) activity|GO:0010181 - FMN binding|GO:0033543 - fatty acid beta-oxidation unsaturated even number reductase/isomerase pathway|GO:0046872 - metal ion binding|GO:0051539 - 4 iron 4 sulfur cluster binding|GO:0071949 - FAD binding;Fatty acid degradation regulons;Uniprot (P42593)|Interpro (P42593);KEGG (eco:b3081)|KEGG GM (eco:b3081)|KEGG EC (1.3.1.34);Interpro (IPR013785)|Interpro (IPR036188)|Interpro (IPR023753)|Interpro (IPR001155)|Pfam (PF00724)|Pfam (PF07992);NCBI (991978426)|EMBL (AP009048);
141;U00096.2:3254700-3256032(-);1329;Probable serine transporter;99.77% [1329/1332];GO:0005886 - plasma membrane|GO:0006865 - amino acid transport|GO:0009093 - cysteine catabolic process|GO:0016021 - integral component of membrane|GO:1901367 - response to L-cysteine;;Uniprot (P42628)|Interpro (P42628);KEGG (eco:b3110)|KEGG GM (eco:b3110);;NCBI (991978453)|EMBL (AP009048);
142;U00096.2:3261707-3263039(-);1329;Threonine/serine transporter TdcC;99.77% [1329/1332];GO:0005886 - plasma membrane|GO:0015293 - symporter activity|GO:0015565 - threonine efflux transmembrane transporter activity|GO:0016021 - integral component of membrane|GO:0022889 - serine transmembrane transporter activity;Threonine degradation|Threonine anaerobic catabolism gene cluster;Uniprot (A7ZS06)|Interpro (A7ZS06);KEGG (ecw:EcE24377A_3590)|KEGG GM (ecw:EcE24377A_3590);Interpro (IPR018227)|Interpro (IPR004694)|Interpro (IPR023726)|Pfam (PF03222);NCBI (446029868)|EMBL (CP000800);
143;U00096.2:3273303-3274875(+);1569;Galactarate dehydratase (L-threo-forming);99.81% [1569/1572];GO:0008867 - galactarate dehydratase activity|GO:0046392 - galactarate catabolic process;D-galactarate, D-glucarate and D-glycerate catabolism|D-Galacturonate and D-Glucuronate Utilization;Uniprot (P39829)|Interpro (P39829);KEGG (eco:b3128)|KEGG GM (eco:b3128)|KEGG EC (4.2.1.42);Interpro (IPR007392)|Interpro (IPR017654)|Interpro (IPR032893)|Interpro (IPR013974)|Pfam (PF04295)|Pfam (PF08666);NCBI (991978467)|EMBL (M30178);
144;U00096.2:3276935-3278216(+);1275;D-tagatose-16-bisphosphate aldolase subunit KbaZ;99.53% [1275/1281];GO:0003824 - catalytic activity|GO:0019402 - galactitol metabolic process|GO:2001059 - D-tagatose 6-phosphate catabolic process;;Uniprot (C4ZR44)|Interpro (C4ZR44);KEGG (ebw:BWG_2838)|KEGG GM (ebw:BWG_2838);Interpro (IPR013785)|Interpro (IPR012062)|Interpro (IPR023435)|Pfam (PF08013);NCBI (446604574)|EMBL (CP001396);
145;U00096.2:3279997-3281152(+);1152;Putative D-galactosamine-6-phosphate deaminase AgaS;99.74% [1152/1155];GO:0005887 - integral component of plasma membrane|GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system|GO:0016787 - hydrolase activity|GO:0016853 - isomerase activity|GO:0097367 - carbohydrate derivative binding|GO:1901135 - carbohydrate derivative metabolic process;N-Acetyl-Galactosamine and Galactosamine Utilization;Uniprot (P42907)|Interpro (P42907);KEGG (eco:b3136)|KEGG GM (eco:b3136);Interpro (IPR035466)|Interpro (IPR001347)|Interpro (IPR035464)|Interpro (IPR014180)|Pfam (PF01380);NCBI (991978474)|EMBL (AP009048);
146;U00096.2:3302594-3303839(-);1242;Tryptophan-specific transport protein;99.76% [1242/1245];GO:0003333 - amino acid transmembrane transport|GO:0005300 - high-affinity tryptophan transmembrane transporter activity|GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane|GO:0015293 - symporter activity|GO:0022804 - active transmembrane transporter activity;;Uniprot (P0AAD2)|Interpro (P0AAD2);KEGG (eco:b3161)|KEGG GM (eco:b3161);Interpro (IPR018227)|Interpro (IPR013061)|Interpro (IPR013059)|Pfam (PF03222);NCBI (991978498)|EMBL (AP009048);
147;U00096.2:3348598-3348719(+);54;Aerobic respiration control sensor protein arcB;44.63% [54/121];GO:0000160 - phosphorelay signal transduction system|GO:0016740 - transferase activity;;Uniprot (W1GYD8)|Interpro (W1GYD8);;Interpro (IPR011006)|Interpro (IPR003594)|Interpro (IPR036641)|Interpro (IPR008207)|Interpro (IPR001789)|Pfam (PF01627)|Pfam (PF00072);EMBL (CBWQ010000617);
148;U00096.2:3436452-3436671(-);216;Alternative ribosome-rescue factor A;98.63% [216/219];GO:0000049 - tRNA binding|GO:0019843 - rRNA binding|GO:0043023 - ribosomal large subunit binding|GO:0072344 - rescue of stalled ribosome;;Uniprot (P36675)|Interpro (P36675);KEGG (eco:b4550)|KEGG GM (eco:b4550);Interpro (IPR005589)|Pfam (PF03889);NCBI (991978619)|EMBL (AP009048);
149;U00096.2:3526690-3527359(+);666;GMP/IMP nucleotidase YrfG;99.55% [666/669];GO:0000287 - magnesium ion binding|GO:0008477 - purine nucleosidase activity|GO:0016311 - dephosphorylation|GO:0030145 - manganese ion binding|GO:0050483 - IMP 5'-nucleotidase activity|GO:0050484 - GMP 5'-nucleotidase activity;CBSS-584.1.peg.3382;Uniprot (P64636)|Interpro (P64636);KEGG (eco:b3399)|KEGG GM (eco:b3399)|KEGG EC (3.1.3.5);Interpro (IPR036412)|Interpro (IPR006439)|Interpro (IPR041492)|Interpro (IPR023214)|Pfam (PF13419);NCBI (991978725)|EMBL (AP009048);
150;U00096.2:3530839-3532462(+);1620;Phosphoenolpyruvate carboxykinase (ATP);99.82% [1620/1623];GO:0004612 - phosphoenolpyruvate carboxykinase (ATP) activity|GO:0005524 - ATP binding|GO:0005737 - cytoplasm|GO:0006094 - gluconeogenesis|GO:0046872 - metal ion binding;;Uniprot (B7UKA7)|Interpro (B7UKA7);KEGG (ecg:E2348C_3647)|KEGG GM (ecg:E2348C_3647)|KEGG EC (4.1.1.49);Interpro (IPR001272)|Interpro (IPR013035)|Interpro (IPR008210)|Interpro (IPR015994)|Pfam (PF01293);NCBI (447188425)|EMBL (FM180568);
151;U00096.2:3548101-3550495(-);2391;Maltodextrin phosphorylase;99.87% [2391/2394];GO:0005737 - cytoplasm|GO:0005829 - cytosol|GO:0005980 - glycogen catabolic process|GO:0008184 - glycogen phosphorylase activity|GO:0030170 - pyridoxal phosphate binding|GO:0030980 - alpha-glucan catabolic process|GO:0031220 - maltodextrin phosphorylase activity|GO:0102250 - linear malto-oligosaccharide phosphorylase activity|GO:0102499 - SHG alpha-glucan phosphorylase activity;;Uniprot (P00490)|Interpro (P00490);KEGG (eco:b3417)|KEGG GM (eco:b3417)|KEGG EC (2.4.1.1);Interpro (IPR011833)|Interpro (IPR000811)|Interpro (IPR035090)|Pfam (PF00343);NCBI (991978743)|EMBL (V00304);
152;U00096.2:3579160-3579649(+);486;L-amino acid N-acetyltransferase AaaT;99.39% [486/489];GO:0008080 - N-acetyltransferase activity|GO:0050176 - phenylalanine N-acetyltransferase activity;;Uniprot (P46854)|Interpro (P46854);KEGG (eco:b3441)|KEGG GM (eco:b3441);Interpro (IPR016181)|Interpro (IPR000182)|Pfam (PF00583);NCBI (991978764)|EMBL (AP009048);
153;U00096.2:3596577-3597681(-);1101;Leu/Ile/Val-binding protein;99.73% [1101/1104];GO:0006865 - amino acid transport|GO:0042597 - periplasmic space;;Uniprot (P0AD98)|Interpro (P0AD98);KEGG (ecs:ECs4309)|KEGG GM (ecs:ECs4309);Interpro (IPR028081)|Interpro (IPR000709)|Interpro (IPR028082)|Pfam (PF13458);NCBI (1233690876)|EMBL (BA000007);
154;U00096.2:3606773-3607019(-);243;Sulfur carrier protein TusA;98.78% [243/246];GO:0002143 - tRNA wobble position uridine thiolation|GO:0005737 - cytoplasm|GO:0097163 - sulfur carrier activity;mnm5U34 biosynthesis bacteria|tRNA modification Bacteria;Uniprot (A7ZT06)|Interpro (A7ZT06);KEGG (ecw:EcE24377A_3952)|KEGG GM (ecw:EcE24377A_3952);Interpro (IPR022931)|Interpro (IPR001455)|Interpro (IPR036868)|Pfam (PF01206);NCBI (752461287)|EMBL (CP000800);
155;U00096.2:3610991-3611579(+);585;4'-phosphopantetheinyl transferase AcpT;99.49% [585/588];GO:0000287 - magnesium ion binding|GO:0006633 - fatty acid biosynthetic process|GO:0008897 - holo-|GO:0018070 - peptidyl-serine phosphopantetheinylation|GO:0019878 - lysine biosynthetic process via aminoadipic acid;Fatty Acid Biosynthesis FASII;Uniprot (P37623)|Interpro (P37623);KEGG (eco:b3475)|KEGG GM (eco:b3475);Interpro (IPR008278)|Interpro (IPR037143)|Pfam (PF01648);NCBI (991978797)|EMBL (AP009048);
156;U00096.2:3627557-3628625(-);1065;Uncharacterized protein YhiI;99.72% [1065/1068];GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane|GO:0009306 - protein secretion;;Uniprot (P37626)|Interpro (P37626);KEGG (eco:b3487)|KEGG GM (eco:b3487);Interpro (IPR039562)|Pfam (PF13533);NCBI (827623471)|EMBL (AP009048);
157;U00096.2:3638884-3640354(+);1467;Dipeptide and tripeptide permease B;99.80% [1467/1470];GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane|GO:0015031 - protein transport|GO:0015078 - proton transmembrane transporter activity|GO:0015333 - peptide:proton symporter activity|GO:0016021 - integral component of membrane|GO:0035442 - dipeptide transmembrane transport|GO:0035443 - tripeptide transmembrane transport|GO:0035673 - oligopeptide transmembrane transporter activity|GO:0042891 - obsolete antibiotic transport|GO:0042895 - obsolete antibiotic transmembrane transporter activity|GO:0042937 - tripeptide transmembrane transporter activity|GO:0071916 - dipeptide transmembrane transporter activity|GO:1902600 - proton transmembrane transport|GO:1904680 - peptide transmembrane transporter activity;Proton-dependent Peptide Transporters;Uniprot (P36837)|Interpro (P36837);KEGG (eco:b3496)|KEGG GM (eco:b3496);Interpro (IPR023778)|Interpro (IPR005279)|Interpro (IPR020846)|Interpro (IPR036259)|Interpro (IPR000109)|Interpro (IPR018456)|Pfam (PF00854);NCBI (991978817)|EMBL (AP009048);
